"longitude","latitude","navn","kommune","fylke","kategori","lenke_faktaark","forvaltningsstatus","nodhavnnummer"
"27.333333309174034","70.88333333392319","Kifjord","Lebesby","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Kifjordx.pdf","Vedtatt","27"
"25.856666657447757","71.070000000208466","Duksfjord","Nordkapp","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Duksfjordx.pdf","Vedtatt","28"
"25.736666657981683","70.978333333531012","Sarnesfjord","Nordkapp","Finnmark","1","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Sarnesfjordx.pdf","Vedtatt","29"
"25.521666659017431","70.878333333502667","Østre Lafjord","Nordkapp","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Ostre_Lafjordx.pdf","Vedtatt","30"
"25.471666659502571","71.026666666829271","Vannfjorden","Nordkapp","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Vesterbotnx.pdf","Vedtatt","33"
"24.962392205278125","70.877343990673339","Ryggefjord - Østerbotn/Vesterbotn","Måsøy","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Osterbotten_Ryggefjordx.pdf","Vedtatt","34"
"19.54666666663557","69.993333333335926","Grunnfjordbotn","Karlsøy","Troms","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Troms/Grunnfjordbotnx.pdf","Vedtatt","11"
"19.724999999963334","70.233333333338066","Burøysund","Karlsøy","Troms","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Troms/Buroysundx.pdf","Vedtatt","12"
"20.003333333300148","70.075","Vannvåg (øst av)","Karlsøy","Troms","1","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Troms/Vannvaagx.pdf","Vedtatt","13"
"24.8787854327567","70.931686553995419","Kulfjord - Østerbotn/Vesterbotn","Måsøy","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Osterbotn_Kulfjordx.pdf","Vedtatt","36"
"24.094999997350179","70.930000000055713","Sørhamn","Måsøy","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Sorhamnx.pdf","Vedtatt","38"
"23.484999998171983","70.241666666706109","Korsfjordbotn","Alta","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Korsfjordbotnx.pdf","Vedtatt","43"
"23.3583333316584","70.180000000032919","Skillefjord","Alta","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Skillefjordx.pdf","Vedtatt","44"
"23.22833333180532","69.966666666695318","Bossekop","Alta","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Bossekopx.pdf","Vedtatt","45"
"9.844999999415553","63.318333333444727","Orkanger","Orkland","Trøndelag","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3163801_Orkanger.pdf","Vedtatt","3163801"
"22.916666665549684","70.158333333356367","Ytre Koven","Alta","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Ytre_Kovenx.pdf","Vedtatt","46"
"23.671666664639126","70.550000000040129","Sjåholmen","Hammerfest","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Sjaaholmenx.pdf","Vedtatt","41"
"6.260000004279353","62.659666700266364","Longvafjorden","Haram","Møre og Romsdal","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3153401_Longvafjorden.pdf","Vedtatt","3153401"
"8.35716666985585","63.14216670025931","Taknesbukta","Heim","Trøndelag","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3157101_Taknesbukta.pdf","Vedtatt","3157101"
"7.128333332792521","62.844999999974441","Frænfjorden","Hustadvika","Møre og Romsdal","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3154801_Fraenfjorden.pdf","Vedtatt","3154801"
"6.665000003651611","58.261500000277451","Djupvik","Flekkefjord","Agder","1","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Djupvik.pdf","Vedtatt","1100408"
"10.22916666672953","59.115333333338462","Framnes syd","Sandefjord","Vestfold","3","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Framnes syd.pdf","Vedtatt","1070603"
"10.49416666670068","59.414333333338917","Horten dypvannskai","Horten","Vestfold","3","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Horten dypvannskai.pdf","Vedtatt","1070104"
"4.815597819779946","60.658155747422882","Hjelmevågen","Øygarden","Vestland","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Vest/Placeofrefuge108.pdf","Vedtatt","108"
"5.281779533196181","59.71535648017116","Børøyfjorden","Bømlo","Vestland","1","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Vest/Placeofrefuge110.pdf","Vedtatt","110"
"5.092231604298408","60.28023987913555","Skogsvågen","Øygarden","Vestland","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Vest/Placeofrefuge109.pdf","Vedtatt","109"
"5.726728408889667","59.02467342425728","Åmøyfjorden","Stavanger","Rogaland","1","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Vest/Placeofrefuge155.pdf","Vedtatt","155"
"8.057328083111221","58.130503358450945","Korsvikfjorden","Kristiansand","Agder","1","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Korsvikfjorden.pdf","Vedtatt","1100105"
"8.788332126430269","58.460833869739545","Pusnes/Tromøysund","Arendal","Agder","3","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Pusnes-Tromoeysund.pdf","Vedtatt","1090605"
"9.73198852722701","59.02817046594857","Asvall NATO-kai","Bamble","Telemark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Asvall NATO-kai.pdf","Vedtatt","1081403"
"10.527222680821831","59.216204171591961","Vestre Bolærne NATO-kai","Færder","Vestfold","3","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Vestre Bolaerne NATO-kai.pdf","Vedtatt","1072301"
"10.752000000033467","59.230166666671565","Stokkviken","Fredrikstad","Østfold","3","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Stokkviken.pdf","Vedtatt","1010602"
"10.720833333355717","59.295666666664886","Krogstadleira","Råde","Østfold","3","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Krogstadleira.pdf","Vedtatt","1013501"
"22.614999999140679","70.213333333348388","Indre Lokkarfjord","Alta","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Indre_Lokkarfjordx.pdf","Vedtatt","47"
"6.666653237372528","58.25500170894496","Kjeøy","Flekkefjord","Agder","1","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Kjeoey.pdf","Vedtatt","1100406"
"6.8411665881862","58.260500602941576","Agnholmen","Kvinesdal","Agder","3","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Agnholmen.pdf","Vedtatt","1103701"
"6.886223024272309","58.275049857085612","Øye smelteverk / Eramet","Kvinesdal","Agder","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Oeye Smelteverk-Eramet.pdf","Vedtatt","1103702"
"6.890009195548107","58.058005938693846","Skarvøyflaket","Farsund","Agder","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Skarvoeyflaket.pdf","Vedtatt","1100301"
"6.794572854978587","58.084878290321058","Dypvannskaia","Farsund","Agder","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Dypvannskaia-Farsund.pdf","Vedtatt","1100302"
"6.982126128010282","58.049908102993491","Hausvig","Lyngdal","Agder","3","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Hausvig.pdf","Vedtatt","1103203"
"7.152841496287207","58.039801131604065","Båly/Njervefjorden - Kai","Lindesnes","Agder","3","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Baaly-Njervefjorden.pdf","Vedtatt","1102901"
"7.985833334303482","58.133333333400294","Hannevigbukta","Kristiansand","Agder","1","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Hannevigbukta.pdf","Vedtatt","1100102"
"23.434999998290035","70.391666666699891","Olderfjord - Seiland","Alta","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Olderfjord_Seilandx.pdf","Vedtatt","48"
"8.035333634205614","58.156666440930316","Kongsgård kai 35","Kristiansand","Agder","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Kongsgaard kai 35.pdf","Vedtatt","1100103"
"8.383333506886862","58.246667070549428","Kokkenes","Lillesand","Agder","3","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Kokkenes.pdf","Vedtatt","1092601"
"8.549999488202426","58.295002525296603","Bufjorden","Grimstad","Agder","3","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Bufjorden.pdf","Vedtatt","1090402"
"8.612000541823399","58.36083376673789","Vikkilen","Grimstad","Agder","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Vikkilen.pdf","Vedtatt","1090403"
"8.9016662733848","58.507167432770068","Vest av Stølene/øst av Buøya","Arendal","Agder","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Vest av Stoelene - Oest av Buoeya.pdf","Vedtatt","1090602"
"30.566666494064215","69.816666672226319","Pasvikhavn","Sør-Varanger","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Pasvikhavnx.pdf","Vedtatt","1"
"30.45693068545733","69.742776242837479","Lanabukt","Sør-Varanger","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Lanabuktx.pdf","Vedtatt","2"
"30.378333170889338","69.671666672024713","Karpbukt","Sør-Varanger","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Karpbuktx.pdf","Vedtatt","3"
"8.87706222316362","58.495460072236732","Eydehavn - Ny-kaien","Arendal","Agder","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Eydehavn-ny kaien.pdf","Vedtatt","1090603"
"8.780833076607008","58.433833247392556","Sandvigodden","Arendal","Agder","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Sandvigodden NATO-kai.pdf","Vedtatt","1090604"
"8.416666671371953","63.341666700250144","Grisvågøy","Aure","Møre og Romsdal","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/MoreOgRomsdal/3156901_Grisvaagoey.pdf","Vedtatt","3156901"
"24.356666663250422","70.688333333411819","Revsneshavn","Hammerfest","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Revsneshavnx.pdf","Vedtatt","39"
"24.221666663467406","70.493333333406198","Repparfjord","Hammerfest","Finnmark","2","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Finnmark/Repparfjordx.pdf","Vedtatt","40"
"7.051661785541819","58.116680633134436","Agnefest","Lyngdal","Agder","1","https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Sorost/Agnefest.pdf","Vedtatt","1103201"
