"navn","kommune","fylke","kategori","iua","lenke_faktaark","longitude","latitude","uuid_original","nodhavnnummer","forvaltningsstatus"
"Gipsvika, Sassenfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211144-Gipsvika, Sassenfjorden.pdf","16.516636675000299","78.423332991545308","833d6c8a-eede-40c8-86e8-38d2925208b7","6211144","Vedtatt"
"Russebukta, Edgeøya","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211137-Russebukta, Edgeooya.pdf","21.016662080287748","77.624998951425496","f5f542d1-2e02-4032-925c-675819d0d43f","6211137","Vedtatt"
"Kvalvågen, Storfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211133-Kvalvaagen, Storfjorden.pdf","17.866654789353074","77.449998025190439","e1243f93-ba6b-43e4-a1f8-7d748b4c916c","6211133","Vedtatt"
"Burgerbukta, Hornsund","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211138-Burgerbukta, Hornsund.pdf","15.983293875528931","77.041660624694828","1105c149-062e-41f1-80ca-01ee6c90c5ab","6211138","Vedtatt"
"Gåshamna, Hornsund","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211101-Gaashamna, Hornsund.pdf","15.833312449150524","76.949996742212718","8128fe9d-de03-45e1-978e-bc62d070b2ab","6211101","Vedtatt"
"Isbjørnhamna, Hornsund","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211139-Isbjoornhamna, Hornsund.pdf","15.57664745297892","76.998331672812824","0baac431-e491-4cf7-b9c4-90600a45076f","6211139","Vedtatt"
"Vestervågen, Recherchefjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211102-Vestervaagen, Recherchefjorden.pdf","14.56666285782522","77.499991131021119","3e5f65d1-5d04-439b-8760-d4c32f9d3e0d","6211102","Vedtatt"
"VanKeulenhamna","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211103-VanKeulenhamna.pdf","14.916665336554011","77.616663135640337","1b6afd10-92da-4997-b707-c60116a6d215","6211103","Vedtatt"
"Ankerhamna, Grønfjorden, Isfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211105-Ankerhamna, Groonfjorden, Isfjorden.pdf","14.249998144755832","78.021659044979003","05917ae4-2b3a-49a7-9a57-c4ba1128bae5","6211105","Vedtatt"
"Colesbukta, Isfjorden","Svalbard","Svalbard","99",,"https://kystinfofiler.kystverket.no/beredskap/Nodhavn/Svalbard/6211106-Colesbukta, Isfjorden.pdf","14.949972787689788","78.116664935277342","54c8dc68-d8f6-4cb1-9caf-8650c0f45578","6211106","Vedtatt"
